행정구역,성별,연령별,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
서울특별시,남자,92세,259.5,335.5,423,410.5,394.5,393,411,436.5,435,524,599.5,653.5,757,817,900,1070,1093,951,960.5,1173,1407.5,1610
서울특별시,남자,93세,177,200,252,327,324.5,310.5,311,318.5,335.5,344.5,415,473,530,619,667,724,846.5,870.5,761.5,766.5,953.5,1156
서울특별시,남자,94세,106.5,126.5,147,193.5,261.5,257,243.5,248,248,266,275.5,321.5,361,408.5,487.5,525.5,573.5,671.5,691.5,604,618,773
서울특별시,남자,95세,76.5,76,87,101.5,140,201.5,203.5,184,180,184,205.5,209,243.5,267,299.5,382.5,419,438.5,518.5,544.5,472.5,469.5
서울특별시,남자,96세,49.5,56,55,63.5,77,109,155.5,150,138.5,140.5,134.5,145.5,150,179,203,234,293.5,314.5,329,413.5,438.5,367
서울특별시,남자,97세,23.5,33,35,35,44,58,79,111,111,101.5,104,101.5,105,106,131.5,146,158,212.5,240.5,252,322,329.5
서울특별시,남자,98세,15,16,22.5,25.5,24.5,31,41,59.5,87,82,71.5,78,74.5,75,75.5,91.5,103.5,114.5,158.5,176.5,181.5,235
서울특별시,남자,99세,10.5,12,13.5,14.5,15.5,16.5,23.5,29.5,41.5,62,61.5,54,53.5,52.5,56.5,53,63.5,75,79,113,135.5,135.5
서울특별시,여자,0세,58461.5,55479,48475,45807.5,45514,42677,40885.5,43292.5,43913,41510.5,40938,41369,41647,40142,38129.5,37970.5,36166,32174.5,28082.5,25445.5,23291,21518
서울특별시,여자,1세,59707.5,59028,55495,48536,46250.5,46074.5,43072.5,41392,43842.5,44364,41853,41347,41934.5,42297.5,40618,38236,37766,35908.5,32013.5,27993,25254.5,23010.5
서울특별시,여자,2세,60936.5,57817.5,56934.5,53784.5,47377,45308.5,44920,41938,40308,42790.5,43178.5,40573.5,40121,40699.5,41189.5,39441.5,36836,36395,34497.5,30782.5,27160.5,24486.5
서울특별시,여자,3세,61609,59357,56073,55427.5,52759,46664,44455,43992,40974.5,39467.5,41787,42037.5,39519.5,39100,39632,39918.5,38068,35603.5,35171,33499,30083,26389.5
서울특별시,여자,4세,62055,60317.5,57858,54780,54598.5,52155,46021,43741.5,43222,40339.5,38774,40935.5,41213,38698.5,38289.5,38730,38801,37040,34605.5,34229,32806.5,29419.5
서울특별시,여자,5세,62630,60874,59053.5,56777.5,54155.5,54092,51468.5,45460,43165,42623,39674,38006.5,40167.5,40461.5,38096,37620,37839.5,37929.5,36134.5,33780.5,33598.5,32137.5
서울특별시,여자,6세,62523,61979,60087.5,58500.5,56509,53913,53831.5,51304.5,45330,42971,42217.5,39250,37621.5,39646.5,39898,37452,36858.5,37094.5,37111.5,35501.5,33378.5,33123
서울특별시,여자,7세,63272,61648.5,60893,59342.5,57967.5,56015,53442,53325,50714.5,44847,42399.5,41506.5,38567.5,36958.5,39111,39347,36712,36156,36392,36461.5,35055.5,32875.5
서울특별시,여자,8세,63992,62641.5,61027.5,60510.5,59104,57770,55681,53052,53019.5,50467.5,44462,41913.5,41034.5,38174,36602.5,38644.5,38758,36164.5,35649.5,35985.5,36152,34598
서울특별시,여자,9세,60503,63697,62337,60775.5,60380.5,59080.5,57688.5,55451,52759,52853.5,50189.5,44051.5,41526.5,40658,37826.5,36199.5,38065.5,38171.5,35642,35254,35717.5,35774
서울특별시,여자,10세,57634,60442,63542,62357.5,60898.5,60479,59074,57614.5,55432,52770,52645,49815.5,43686,41174,40362,37534.5,35817.5,37657.5,37741,35334.5,35052,35390.5
서울특별시,여자,11세,58128,57808.5,60610.5,63781,62587.5,61138,60634,59110.5,57633.5,55522,52673.5,52387.5,49527.5,43388.5,40943.5,40095.5,37191,35492.5,37292.5,37455,35190.5,34779
서울특별시,여자,12세,59181.5,58773,58369,61273.5,64518.5,63165.5,61685,61207.5,59557,57993.5,55630,52635,52273.5,49342,43331,40827.5,39792,36898.5,35239,37160,37463.5,35069.5
서울특별시,여자,13세,59686,59114,58769,58354,61207,64479.5,63186.5,61685,61142,59562,57828,55266,52275.5,51940,49109,43045.5,40432.5,39503,36630.5,34985,36982,37194.5
서울특별시,여자,14세,62711.5,60027,59385.5,59050.5,58718,61544.5,64769.5,63452,61889.5,61349.5,59611.5,57710,55094.5,52130,51815.5,48902,42788,40197,39227,36439,34882,36770
서울특별시,여자,15세,66025,63197,60522,59906.5,59581,59224.5,62017,65170.5,63802.5,62265,61578,59656.5,57684,55046,52130.5,51797.5,48772.5,42639,40060,39121.5,36378,34790
서울특별시,여자,16세,71220.5,65529.5,62751,60177.5,59665.5,59414,59091.5,61908.5,65119,63823.5,62157.5,61371.5,59366.5,57373.5,54886,51945,51442.5,48438.5,42368,39805.5,38906.5,36114
서울특별시,여자,17세,80355.5,71015,65238.5,62594.5,60163,59764,59502.5,59133,61955,65252.5,63849.5,62025,61169,59152,57277,54752,51693,51217.5,48302.5,42268.5,39689.5,38729.5
서울특별시,여자,18세,86764,80270.5,70846,65147.5,62604,60301.5,59922,59687.5,59268.5,62066.5,65242.5,63653,61871,61129.5,59200.5,57326.5,54721,51693.5,51243.5,48324.5,42303.5,39694
서울특별시,여자,19세,90686,87872,81077,71757,66225.5,63858,61624,61082,60720.5,60278.5,62968.5,65863,64354.5,62883,62527.5,60837.5,58948,56530.5,53808.5,53717,50752,44379
서울특별시,여자,20세,93926,92187.5,89223.5,82597,73207,67719,65372.5,62986,62326,61920.5,61225.5,63751,66970,65555,64176.5,63889,62185.5,60613.5,58530.5,56306,56496,53428.5
서울특별시,여자,21세,88765.5,95963.5,93984.5,91289,84631,75099,69710,67159.5,64511.5,63701.5,63093.5,62208.5,64974,68381.5,67006.5,65557,65183.5,63735.5,62511,60981.5,59073.5,59250
서울특별시,여자,22세,88544,91333,98446.5,96362,93571.5,87093.5,77536.5,71994.5,69220.5,66375,65405,64679,63932.5,66874,70440.5,69001.5,67387,67264.5,66353,65695.5,64573,62482
서울특별시,여자,23세,95983.5,91669,94255,101382.5,99199,96626,90512,81042,75297,72274.5,69034.5,67944,67389,66792,70019.5,73581.5,72090.5,70996,71615,71498.5,71390,70016
서울특별시,여자,24세,98864.5,98235,93719.5,96497.5,103686,101641,99699.5,94133.5,84478,78205.5,74788,71471,70611,70265,69851,72965,76504.5,75576,75238.5,76468,76569.5,76166.5
서울특별시,여자,25세,106021.5,100041.5,99004.5,94807.5,97811,105098,103742.5,102344,96697,86908,80381.5,76839.5,73696.5,73032.5,72868.5,72277,75332,79456,79316,79508,80761.5,80565
서울특별시,여자,26세,112499.5,105768,99640,98968,94942.5,98108,106015,105045,103901.5,98337.5,88094.5,81483.5,78296.5,75422.5,74851,74474,73744,77279,82214,82568,82877.5,83645.5
서울특별시,여자,27세,114510.5,110992,104197.5,98549,98144.5,94405.5,97790,105952.5,105314.5,104287.5,98501.5,88144.5,81893,78953.5,76221,75550,74939.5,74549,78782.5,84358,84910.5,84404.5
서울특별시,여자,28세,115364.5,112139,108293.5,102039,97045.5,96973,93524.5,97043,105290,104738,103456,97709,87851.5,81821.5,79085.5,76325.5,75370,75026.5,75272,80027.5,85612,85514.5
서울특별시,여자,29세,113394.5,112429.5,108806.5,105424,99843.5,95246.5,95375,91964.5,95540.5,104033.5,103128,101598.5,96210.5,86719.5,81043.5,78285.5,75483,74912,74945.5,75403.5,80304,85265
서울특별시,여자,30세,107795.5,110299,108799,105708,102931.5,97669.5,93314,93529,90257.5,94026.5,101911.5,100749.5,99545,94294.5,85203,79565.5,76681.5,74306.5,74097,74362,75013.5,79306
서울특별시,여자,31세,103155,104889.5,106815.5,105550,103180,100884.5,95674,91280,91509.5,88581,91696,99172,98319,97099,92145,83154.5,77387.5,74915.5,73041.5,73121,73549.5,73612
서울특별시,여자,32세,97313,100799.5,101971,104076,103242,101050,98742,93508.5,89166,89649.5,86298,88914,96327,95586,94722,89670,80588.5,75364,73236.5,71648.5,71984.5,71922.5
서울특별시,여자,33세,86892,95185,98137,99492,101916.5,101195.5,99075,96798.5,91525.5,87384,87359.5,83734,86403,93670.5,93022.5,91838.5,86718,78254.5,73336,71387.5,70194.5,70199
서울특별시,여자,34세,84433.5,85507.5,93224.5,96221.5,97784,100279.5,99590.5,97270.5,94927,89911.5,85395,84970.5,81481.5,84111.5,91172.5,90215.5,88845,84121.5,75862.5,71199.5,69739.5,68170
